gameCover	gameGenre	gamePhrase	gamePlatform	gameRating	gameReview	gameTitle	gameCoverID
http://media.ign.com/games/image/object/135/135661/Zombi-U_US_ESRB_WiiUboxart_160h.jpg	Shooter	Okay	Wii U	6.3	http://www.ign.com/articles/2012/11/18/zombiu-review	ZombiU	389
http://media.ign.com/games/image/object/110/110822/Batman-Arkham-City_WiiU_ESRBboxart_160h.jpg	Action	Amazing	Wii U	9.5	http://www.ign.com/articles/2012/11/17/batman-arkham-city-armored-edition-review	Batman: Arkham City -- Armored Edition	390
http://starsmedia.ign.com/stars/image/object/110/110809/Darksiders-2_WiiU_ESRBboxart_160h.jpg	Action	Good	Wii U	7.5	http://www.ign.com/articles/2012/11/17/darksiders-ii-review-3	Darksiders II	391
http://xbox360media.ign.com/xbox360/image/object/135/135731/scribblenautsunlimitedwiiu1boxart_160h.jpg	Puzzle,Action	Great	Wii U	8.8	http://www.ign.com/articles/2012/11/16/scribblenauts-unlimited-review	Scribblenauts Unlimited	392
http://assets2.ignimgs.com/2013/08/01/new-super-mario-u-wiiu-najpg-88206b_160h.jpg	Platformer	Amazing	Wii U	9.1	http://www.ign.com/articles/2012/11/15/new-super-mario-bros-u-review	New Super Mario Bros. U	393
http://wiimedia.ign.com/wii/image/object/135/135744/NintendoLandHiResBoxartLabelFinalboxart_160h.jpg	Party	Great	Wii U	8.7	http://www.ign.com/articles/2012/11/15/nintendo-land-review	Nintendo Land	394
http://xbox360media.ign.com/xbox360/image/object/110/110811/ninjagaiden3wiiu1boxart_160h.jpg	Action	Good	Wii U	7.6	http://www.ign.com/articles/2012/11/13/ninja-gaiden-3-razors-edge-review	Ninja Gaiden III: Razor's Edge	395
http://media.ign.com/games/image/object/128/128141/Skylanders-Giants_US_ESRB_Starter_WIIboxart_160h.jpg	Action,Adventure	Great	Wii	8.0	http://www.ign.com/articles/2012/10/18/skylanders-giants-review	Skylanders Giants	396
http://wiimedia.ign.com/wii/image/object/087/087940/Project-Zero-2-Wii-Edition_GENERALboxart_160h.jpg	Adventure	Great	Wii	8.5	http://www.ign.com/articles/2012/06/29/project-zero-2-wii-edition-review	Fatal Frame: Deep Crimson Butterfly	397
http://ps3media.ign.com/ps3/image/object/124/124687/dcheroes1wiie10boxart_160h.jpg	Action,Adventure	Great	Wii	8.0	http://www.ign.com/articles/2012/06/18/lego-batman-2-dc-super-heroes-wii-review	LEGO Batman 2: DC Super Heroes	398
http://assets1.ignimgs.com/2017/06/24/pillars-of-eternity-complete---button-2-1498279245909_160h.jpg	RPG	Great	PlayStation 4	8.5	http://www.ign.com/articles/2017/09/05/pillars-of-eternity-complete-edition-review	Pillars of Eternity: Complete Edition	0
http://assets1.ignimgs.com/2017/08/29/knack-2-1504035935903_160h.jpg	Action	Good	PlayStation 4	7.2	http://www.ign.com/articles/2017/09/05/knack-2-review	Knack 2	399
